Id,Label,House
Ralf-Stonehouse,Ralf Stonehouse,Other
Ramsay-Snow,Ramsay Snow,Other
Randyll-Tarly,Randyll Tarly,Tarly
Rast,Rast,Other
Rattleshirt,Rattleshirt,Other
Ravella-Swann,Ravella Swann,Other
Raymun-Darry,Raymun Darry,Other
Raymun-Redbeard,Raymun Redbeard,Other
Raynald-Westerling,Raynald Westerling,Other
Raynard,Raynard,Other
Red-Oarsman,Red Oarsman,Other
Reek,Reek,Other
Renly-Baratheon,Renly Baratheon,Baratheon
Rennifer-Longwaters,Rennifer Longwaters,Other
Reznak-mo-Reznak,Reznak mo Reznak,Other
Rhaegar-Frey,Rhaegar Frey,Frey
Rhaegar-Targaryen,Rhaegar Targaryen,Targaryen
Rhaegel-Targaryen,Rhaegel Targaryen,Targaryen
Rhaego,Rhaego,Other
Rhaella-Targaryen,Rhaella Targaryen,Targaryen
Rhaenys-Targaryen,Rhaenys Targaryen,Targaryen
Rhaenys-Targaryen-(daughter-of-Rhaegar),Rhaenys Targaryen (daughter of Rhaegar),Targaryen
Ricasso,Ricasso,Other
Richard-Horpe,Richard Horpe,Other
Rickard-Karstark,Rickard Karstark,Other
Rickard-Stark,Rickard Stark,Stark
Rickon-Stark,Rickon Stark,Stark
Robar-Royce,Robar Royce,Other
Robb-Stark,Robb Stark,Stark
Robert-Arryn,Robert Arryn,Arryn
Robert-Baratheon,Robert Baratheon,Baratheon
Robert-Strong,Robert Strong,Other
Robett-Glover,Robett Glover,Other
Robin-Flint,Robin Flint,Other
Robin-Ryger,Robin Ryger,Other
Rodrik-Cassel,Rodrik Cassel,Cassel
Rodrik-Harlaw,Rodrik Harlaw,Other
Rodrik-Sparr,Rodrik Sparr,Other
Roger-Ryswell,Roger Ryswell,Other
Rolfe-the-Dwarf,Rolfe the Dwarf,Other
Rollam-Westerling,Rollam Westerling,Other
Rolly-Duckfield,Rolly Duckfield,Other
Rolph-Spicer,Rolph Spicer,Other
Ronnet-Connington,Ronnet Connington,Other
Roone,Roone,Other
Roose-Bolton,Roose Bolton,Bolton
Roose-Ryswell,Roose Ryswell,Other
Rorge,Rorge,Other
Rory,Rory,Other
Rosey,Rosey,Other
Roslin-Frey,Roslin Frey,Frey
Rossart,Rossart,Other
Rowan,Rowan,Other
Rugen,Rugen,Other
Rus,Rus,Other
Ryk,Ryk,Other
Ryman-Frey,Ryman Frey,Frey
Salladhor-Saan,Salladhor Saan,Other
Sallor,Sallor,Other
Samwell-Tarly,Samwell Tarly,Tarly
Sandor-Clegane,Sandor Clegane,Clegane
Sansa-Stark,Sansa Stark,Stark
Sarella-Sand,Sarella Sand,Other
Satin,Satin,Other
Sawane-Botley,Sawane Botley,Other
Scar,Scar,Other
Scolera,Scolera,Other
Selwyn-Tarth,Selwyn Tarth,Other
Selyse-Florent,Selyse Florent,Other
Senelle,Senelle,Other
Shadd,Shadd,Other
Shadrich,Shadrich,Other
Shae,Shae,Other
Shagga,Shagga,Other
Shagwell,Shagwell,Other
Sharna,Sharna,Other
Shireen-Baratheon,Shireen Baratheon,Baratheon
Shitmouth,Shitmouth,Other
Shortear,Shortear,Other
Shrouded-Lord,Shrouded Lord,Other
Sigfryd-Harlaw,Sigfryd Harlaw,Other
Sigorn,Sigorn,Other
Simon-Toyne,Simon Toyne,Other
Skahaz-mo-Kandaq,Skahaz mo Kandaq,Other
Skinner,Skinner,Other
Small-Paul,Small Paul,Other
Smiling-Knight,Smiling Knight,Other
Softfoot,Softfoot,Other
Soren-Shieldbreaker,Soren Shieldbreaker,Other
Sour-Alyn,Sour Alyn,Other
Spare-Boot,Spare Boot,Other
Spotted-Cat,Spotted Cat,Other
Squint,Squint,Other
Squirrel,Squirrel,Other
Stafford-Lannister,Stafford Lannister,Lannister
Stannis-Baratheon,Stannis Baratheon,Baratheon
Steelskin,Steelskin,Other
Steffon-Baratheon,Steffon Baratheon,Baratheon
Steffon-Varner,Steffon Varner,Other
Stevron-Frey,Stevron Frey,Frey
Stiv,Stiv,Other
Stonesnake,Stonesnake,Other
Stygg,Stygg,Other
Styr,Styr,Other
Sweets,Sweets,Other
Sybell-Spicer,Sybell Spicer,Other
Sybelle-Glover,Sybelle Glover,Other
Sylva-Santagar,Sylva Santagar,Other
Symon-Silver-Tongue,Symon Silver Tongue,Other
Symon-Stripeback,Symon Stripeback,Other
Symond-Templeton,Symond Templeton,Other
Syrio-Forel,Syrio Forel,Other
Taena-of-Myr,Taena of Myr,Other
Talbert-Serry,Talbert Serry,Other
Talea,Talea,Other
Tallad,Tallad,Other
Tanda-Stokeworth,Tanda Stokeworth,Other
Tansy,Tansy,Other
Tarber,Tarber,Other
Tattered-Prince,Tattered Prince,Other
Ternesio-Terys,Ternesio Terys,Other
Terrance-Lynderly,Terrance Lynderly,Other
Theobald,Theobald,Other
Theomore,Theomore,Other
Theon-Greyjoy,Theon Greyjoy,Greyjoy
Thistle,Thistle,Other
Thoren-Smallwood,Thoren Smallwood,Other
Thoros-of-Myr,Thoros of Myr,Other
Tickler,Tickler,Other
Timeon,Timeon,Other
Timett,Timett,Other
Timoth,Timoth,Other
Tion-Frey,Tion Frey,Frey
Tobho-Mott,Tobho Mott,Other
Todder,Todder,Other
Tom-Barleycorn,Tom Barleycorn,Other
Tom-of-Sevenstreams,Tom of Sevenstreams,Other
Tomard,Tomard,Other
Tommen-Baratheon,Tommen Baratheon,Baratheon
Torbert,Torbert,Other
Toregg,Toregg,Other
Torghen-Flint,Torghen Flint,Other
Torgon-Greyiron,Torgon Greyiron,Other
Tormund,Tormund,Other
Torrhen-Karstark,Torrhen Karstark,Other
Torrhen-Stark,Torrhen Stark,Stark
Torwold-Browntooth,Torwold Browntooth,Other
Tregar,Tregar,Other
Tristifer-Botley,Tristifer Botley,Other
Tristifer-IV-Mudd,Tristifer IV Mudd,Other
Trystane-Martell,Trystane Martell,Martell
Tybero-Istarion,Tybero Istarion,Other
